Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
10,10950,"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat",Broiled,82,1,n/a,n/a,n/a,-6.11,-0.67,2014
10,10013,"Pork, fresh, leg (ham), rump half, separable lean and fat ","Baked or Roasted, unspecified",77,12,3.85,70,80,-21.2,-2.7,2011
10,10017,"Pork, fresh, leg (ham), shank half, separable lean and fat ","Baked or Roasted, unspecified",79,12,2.98,68.5,82,-19.9,-1.3,2011
10,10962,"Pork, fresh, leg sirloin tip roast, boneless, separable lean and fat",Braised,79,4,4.532,72.09,82.12,-21.53,0.01,2009
10,10029,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Braised,78,12,5.28,65,93,-27.8,6.5,2011
10,10030,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Broiled or Grilled,83,12,3.12,78,90,-16.3,-0.3,2011
10,10178,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Pan-fried,82,12,4.68,68,97,-20,1.3,2011
10,10031,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",77,12,3,68,88,-22.2,0.6,2011
10,10990,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat ","Baked or Roasted, unspecified",75,12,5.85,68,88,-22.4,-0.2,2011
10,10037,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat ",Braised,74,12,4.75,67,85,-21.5,2.2,2011
10,10179,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat ",Pan-fried,76,12,4.61,58,84,-25.4,1.1,2011
10,10189,"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat",Pan broiled,80,1,n/a,n/a,n/a,-16.42,-2.11,2014
10,10039,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",77,12,6.38,63,88,-23.3,0.9,2011
10,10045,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat ",Braised,77,12,4.23,68,89,-19.3,3,2011
10,10180,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat ",Pan-fried,77,12,4.23,68,87,-23.7,1.1,2011
10,10047,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",75,12,4.68,65,84,-24.7,-0.1,2011
10,10956,"Pork, fresh, loin, leg cap steak, boneless, separable lean and fat",Broiled or Grilled,81,1,n/a,n/a,n/a,-19.48,0.2,2009
10,10053,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat ",Braised,73,12,3.17,68,79,-27,0.1,2011
10,10211,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat ",Braised,76,12,4.93,61,87,-22.7,0.1,2011
10,10212,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat ",Broiled or Grilled,79,12,5.38,73,94,-23.2,0.1,2011
10,10218,"Pork, fresh, loin, tenderloin, separable lean and fat",Roasted,80,1,n/a,n/a,n/a,-4.68,0.32,2009
